"idWerkstoffe";"Bezeichnung";"kc11";"m";"Rp";"Rm";"Bemerkung"
"1.0035";"S185";1990;0.26;0;330;"Baustahl"
"1.0044";"S275JR";2260;0.3;0;440;"Baustahl"
"1.1191";"C45E";2220;0.14;0;650;"Vergütungsstahl"
"1.1221";"C60E";2130;0.18;0;834;"Vergütungsstahl, unlegiert"
"1.4000";"X6Cr13";2290;0.17;0;400;"Edelstahl"
"1.7225";"42CrMo4";2500;0.26;0;1100;"Vergütungsstahl, niedrig legiert"
